Marca;Modelo;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;Total
HONDA;        HONDA NF100 WAVE SD;;;;;1;;;;;;;;;;;1
HONDA;        HONDA NXR125;;;;;1;;;;;;;;;;;1
HONDA;        HONDA CRF250RX;;;;;;1;;;;;;;;;;1
HONDA;        HONDA XR650R;;;;;;1;;;;;;;;;;1
HONDA;        HONDA CB 190 R REPSOL;;;;;;;1;;;;;;;;;1
HONDA;        HONDA CB 300 R;;;;;;;1;;;;;;;;;1
HONDA;        HONDA CRF110F;;;;;;;;1;;;;;;;;1
HONDA;        HONDA NX DOMINATOR 650 CC;;;;;;;;;1;;;;;;;1
HONDA;        HONDA TRX250;;;;;;;;;1;;;;;;;1
HONDA;        HONDA CG125 TITAN ES;;;;;;;;;;1;;;;;;1
HONDA;        HONDA CRF150R;;;;;;;;;;1;;;;;;1
HONDA;        HONDA TRX350 TM;;;;;;;;;;;;1;;;;1
HONDA;        HONDA MONKEY 125;;;;;;;;;;;;;1;;;1
HONDA;        HONDA NF 100 WAVE;;;;;;;;;;;;;1;;;1
HONDA;        HONDA C105 BIZ;;;;;;;;;;;;;;1;;1
HONDA;        HONDA CB750A;;;;;;;;;;;;;;;1;1
HONDA;        HONDA GOLDWING 1800 GL;;;;;;;;;;;;;;;1;1
HONDA;        HONDA NC750 XA;;;;;;;;;;;;;;;1;1
HONDA;        HONDA SGX 50;;;;;;;;;;;;;;;1;1
MOTOMEL;        MOTOMEL B110;3.161;2.863;3.787;3.107;2.746;2.582;2.814;2.952;2.447;3.054;2.985;2.711;2.365;2.114;2.367;42.055
MOTOMEL;        MOTOMEL S2 150;1.140;943;1.239;1.002;943;750;853;887;596;843;841;769;661;624;631;12.722
MOTOMEL;        MOTOMEL CX 150;614;632;828;536;527;438;586;737;556;602;595;605;516;463;483;8.718
MOTOMEL;        MOTOMEL C110 DLX;301;287;440;323;231;172;231;241;247;305;292;303;228;185;202;3.988
MOTOMEL;        MOTOMEL S110;101;90;127;87;96;71;66;84;74;90;79;77;82;36;22;1.182
MOTOMEL;        MOTOMEL B110 TUNNING;91;72;69;40;35;21;46;58;43;52;67;59;85;51;56;845
MOTOMEL;        MOTOMEL SKUA 125 X-TREME;77;54;66;42;49;41;59;58;43;65;52;38;36;46;31;757
MOTOMEL;        MOTOMEL SKUA 250;34;47;57;56;38;29;15;47;46;78;57;83;65;45;29;726
MOTOMEL;        MOTOMEL STRATO EURO 150;52;38;53;53;46;37;40;53;39;76;70;61;52;33;21;724
MOTOMEL;        MOTOMEL SIRIUS 190;46;52;52;41;35;55;36;54;28;40;37;22;29;16;17;560
MOTOMEL;        MOTOMEL STRATO ALPINO 150;25;27;35;29;20;19;23;33;24;33;48;31;35;18;23;423
MOTOMEL;        MOTOMEL XMM;27;17;31;22;18;15;19;24;28;35;30;26;14;15;18;339
MOTOMEL;        MOTOMEL SKUA 250 ADVENTURE;23;15;29;20;24;14;24;21;17;20;26;25;27;17;5;307
MOTOMEL;        MOTOMEL SIRIUS 150;8;15;8;8;4;1;4;3;5;2;3;7;3;;3;74
MOTOMEL;        MOTOMEL SIRIUS 250;6;5;4;6;5;6;7;7;6;5;1;1;1;1;2;63
MOTOMEL;        MOTOMEL SKUA 200;1;4;4;4;3;5;12;4;0;5;0;1;0;0;0;43
MOTOMEL;        MOTOMEL CITY CARGO 110;0;1;1;2;2;1;0;1;0;2;1;3;4;1;0;19
MOTOMEL;        MOTOMEL SR 200;2;0;3;2;1;2;0;1;1;1;3;1;0;0;1;18
MOTOMEL;        MOTOMEL S3 150;0;1;0;0;0;0;0;1;2;1;0;1;0;0;0;6
